withdrawal_point_id,name,type,lat,lon,city,bank_name,complaint_id,chain_depth,recency_decay,degree_centrality_global,community_size,local_betweenness,community_num_complaints,amount_lost,hour_of_day,bank_match,global_geo_density,community_geo_density,label
41,"HDFC Bank ATM, Central Plaza, Mumbai",ATM,18.9635,72.837,Mumbai,HDFC Bank,150,1,1.0,0.0,1,0.0,0,74077.18,3,0,0.0,0.0,0
42,"Punjab National Bank ATM, Civil Lines, Mumbai",ATM,19.1166,72.8091,Mumbai,Punjab National Bank,150,1,1.0,0.0,1,0.0,0,74077.18,3,0,0.0,0.0,0
43,"HDFC Bank Branch, Ring Road, Mumbai",Branch,19.1443,72.9515,Mumbai,HDFC Bank,150,1,1.0,0.0,1,0.0,0,74077.18,3,0,0.0,0.0,0
44,"HDFC Bank ATM, Station Road, Mumbai",ATM,19.1142,72.8427,Mumbai,HDFC Bank,150,1,1.0,0.0,1,0.0,0,74077.18,3,0,0.0,0.0,0
45,"Axis Bank Branch, Industrial Estate, Mumbai",Branch,19.131,72.9193,Mumbai,Axis Bank,150,1,1.0,0.0,1,0.0,0,74077.18,3,0,0.0,0.0,0
46,"Bank of Baroda ATM, MG Road, Mumbai",ATM,19.0526,72.8391,Mumbai,Bank of Baroda,150,1,1.0,0.0,1,0.0,0,74077.18,3,0,0.0,0.0,0
47,"State Bank of India ATM, Ring Road, Mumbai",ATM,19.0017,72.8654,Mumbai,State Bank of India,150,1,1.0,0.0,1,0.0,0,74077.18,3,0,0.0,0.0,0
48,"Axis Bank ATM, Civil Lines, Mumbai",ATM,19.067,72.9676,Mumbai,Axis Bank,150,1,1.0,0.0,1,0.0,0,74077.18,3,0,0.0,0.0,0
49,"State Bank of India Branch, Airport Road, Mumbai",Branch,19.1627,72.8898,Mumbai,State Bank of India,150,1,1.0,0.0,1,0.0,0,74077.18,3,0,0.0,0.0,0
50,"State Bank of India ATM, Station Road, Mumbai",ATM,19.1783,72.9614,Mumbai,State Bank of India,150,1,1.0,0.0,1,0.0,0,74077.18,3,0,0.0,0.0,1
51,"HDFC Bank Branch, Junction, Mumbai",Branch,19.0715,72.9652,Mumbai,HDFC Bank,150,1,1.0,0.0,1,0.0,0,74077.18,3,0,0.0,0.0,0
52,"State Bank of India ATM, Tech Park, Mumbai",ATM,18.9565,72.8514,Mumbai,State Bank of India,150,1,1.0,0.0,1,0.0,0,74077.18,3,0,0.0,0.0,0
53,"Axis Bank ATM, Tech Park, Mumbai",ATM,19.1232,72.933,Mumbai,Axis Bank,150,1,1.0,0.0,1,0.0,0,74077.18,3,0,0.0,0.0,0
54,"Punjab National Bank Branch, Market Yard, Mumbai",Branch,19.0016,72.8099,Mumbai,Punjab National Bank,150,1,1.0,0.0,1,0.0,0,74077.18,3,0,0.0,0.0,0
55,"State Bank of India ATM, Lake View, Mumbai",ATM,19.0313,72.7697,Mumbai,State Bank of India,150,1,1.0,0.0,1,0.0,0,74077.18,3,0,0.0,0.0,0
56,"Axis Bank ATM, MG Road, Mumbai",ATM,19.1866,72.7769,Mumbai,Axis Bank,150,1,1.0,0.0,1,0.0,0,74077.18,3,0,0.0,0.0,0
57,"HDFC Bank ATM, Bus Stand, Mumbai",ATM,18.9723,72.9645,Mumbai,HDFC Bank,150,1,1.0,0.0,1,0.0,0,74077.18,3,0,0.0,0.0,0
58,"Axis Bank ATM, Central Plaza, Mumbai",ATM,19.0927,72.8966,Mumbai,Axis Bank,150,1,1.0,0.0,1,0.0,0,74077.18,3,0,0.0,0.0,0
59,"State Bank of India ATM, Tech Park, Mumbai",ATM,19.1138,72.8934,Mumbai,State Bank of India,150,1,1.0,0.0,1,0.0,0,74077.18,3,0,0.0,0.0,0
60,"ICICI Bank ATM, Ring Road, Mumbai",ATM,19.1167,72.8331,Mumbai,ICICI Bank,150,1,1.0,0.0,1,0.0,0,74077.18,3,1,0.0,0.0,0
61,"ICICI Bank Branch, Market Yard, Mumbai",Branch,19.1172,72.8297,Mumbai,ICICI Bank,150,1,1.0,0.0,1,0.0,0,74077.18,3,1,0.0,0.0,0
