id,name,city_cluster,typical_hops,typical_delay_hours_min,typical_delay_hours_max,mule_account_ids,withdrawal_point_ids,hot_withdrawal_point_ids
1,Ring-001,Chennai,3,1,6,"801,802,803,804","146,153,136,129,128,122,131,126,132,142,127,135,151,138","146,153,136"
2,Ring-002,Delhi,3,1,6,"805,806,807,808,809,810,811","119,108,93,89,99,118,104,101,94","119,108,93"
3,Ring-003,Chennai,2,1,6,"812,813,814,815,816,817,818","141,122,152,153,145,149,134,144,130,143,123,140,147","141,122,152"
4,Ring-004,Chennai,2,1,6,"819,820,821,822","122,133,125,158,127,138,132,128,150,155,145","122,133,125"
5,Ring-005,Delhi,2,12,48,"823,824,825,826,827,828,829,830","85,90,105,102,109,98,119","85,90,105"
6,Ring-006,Mumbai,4,1,6,"831,832,833,834","60,46,56,51,71,45","60,46,56"
7,Ring-007,Delhi,3,12,48,"835,836,837","91,106,112,87,98,99,114,85,115,113,83","91,106,112"
8,Ring-008,Chennai,2,12,48,"838,839,840,841,842,843,844","158,135,149,137,140,123,159,157,146","158,135,149"
9,Ring-009,Delhi,2,1,6,"845,846,847","98,92,88,109,102,118,113,110,115,96,116,100,89","98,92,88"
10,Ring-010,Bengaluru,3,1,6,"848,849,850,851,852","34,39,7,24,8,38","34,39,7"
11,Ring-011,Delhi,2,1,6,"853,854,855,856,857","96,89,83,95,120,118,85,106,119,111","96,89,83"
12,Ring-012,Mumbai,4,1,6,"858,859,860,861,862","72,74,41,50,42,61","72,74,41"
13,Ring-013,Hyderabad,3,1,6,"863,864,865,866,867,868","163,168,174,184,180,188,170,165,171,176,173,161,166,172","163,168,174"
14,Ring-014,Bengaluru,4,12,48,"869,870,871,872,873,874,875","19,32,34,5,10,12,40","19,32,34"
15,Ring-015,Hyderabad,3,1,6,"876,877,878,879,880,881,882","197,194,193,162,175","197,194,193"
16,Ring-016,Bengaluru,4,12,48,"883,884,885,886,887","20,39,5,8,34,19,7,35","20,39,5"
17,Ring-017,Mumbai,4,1,6,"888,889,890,891","80,54,74,57,59,43,48,56,60,69,58","80,54,74"
18,Ring-018,Bengaluru,2,1,6,"892,893,894,895,896,897,898","28,7,10,13,34,21,22,8,17,27,39,25","28,7,10"
19,Ring-019,Delhi,2,1,6,"899,900,901,902,903,904","96,113,101,89,110,112,103,105,88,87,111,95,83","96,113,101"
20,Ring-020,Hyderabad,3,12,48,"905,906,907,908,909","182,195,189,167,177,186,170,165,172","182,195,189"
21,Ring-021,Bengaluru,3,12,48,"910,911,912,913,914,915,916","26,11,17,6,21,12,22","26,11,17"
22,Ring-022,Chennai,3,1,6,"917,918,919,920","141,123,122,138,130,127,139,126,159,145","141,123,122"
23,Ring-023,Delhi,3,12,48,"921,922,923,924","102,111,83,114,94,108,92,87,99,90,119,115","102,111,83"
24,Ring-024,Hyderabad,3,1,6,"925,926,927,928,929,930,931","179,176,162,197,182,177,195,192,168,166,189,175,180,187","179,176,162"
25,Ring-025,Hyderabad,2,12,48,"932,933,934,935,936,937","186,167,169,172,163","186,167,169"
