id,name,type,lat,lon,city,bank_name
1,"Bank of Baroda ATM, Koramangala, Bengaluru",ATM,12.9366,77.623,Bengaluru,Bank of Baroda
2,"HDFC Bank ATM, Rajajinagar, Bengaluru",ATM,12.9966,77.5549,Bengaluru,HDFC Bank
3,"State Bank of India ATM, Jayanagar, Bengaluru",ATM,12.9292,77.5844,Bengaluru,State Bank of India
4,"Punjab National Bank ATM, Rajajinagar, Bengaluru",ATM,12.9986,77.5551,Bengaluru,Punjab National Bank
5,"ICICI Bank ATM, Whitefield, Bengaluru",ATM,12.971,77.749,Bengaluru,ICICI Bank
6,"HDFC Bank ATM, HSR Layout, Bengaluru",ATM,12.9097,77.6439,Bengaluru,HDFC Bank
7,"ICICI Bank ATM, Banashankari, Bengaluru",ATM,12.9241,77.5441,Bengaluru,ICICI Bank
8,"Axis Bank ATM, Electronic City, Bengaluru",ATM,12.8427,77.659,Bengaluru,Axis Bank
9,"Bank of Baroda ATM, Banashankari, Bengaluru",ATM,12.9237,77.5442,Bengaluru,Bank of Baroda
10,"Bank of Baroda ATM, Malleswaram, Bengaluru",ATM,13.0063,77.573,Bengaluru,Bank of Baroda
11,"State Bank of India Branch, Malleswaram, Bengaluru",Branch,13.0031,77.5729,Bengaluru,State Bank of India
12,"HDFC Bank ATM, HSR Layout, Bengaluru",ATM,12.9104,77.6432,Bengaluru,HDFC Bank
13,"Bank of Baroda ATM, Banashankari, Bengaluru",ATM,12.9263,77.547,Bengaluru,Bank of Baroda
14,"HDFC Bank ATM, Marathahalli, Bengaluru",ATM,12.9562,77.7003,Bengaluru,HDFC Bank
15,"Bank of Baroda ATM, HSR Layout, Bengaluru",ATM,12.9142,77.6463,Bengaluru,Bank of Baroda
16,"HDFC Bank ATM, HSR Layout, Bengaluru",ATM,12.9115,77.642,Bengaluru,HDFC Bank
17,"Punjab National Bank ATM, Jayanagar, Bengaluru",ATM,12.9317,77.5832,Bengaluru,Punjab National Bank
18,"Bank of Baroda Branch, Whitefield, Bengaluru",Branch,12.9684,77.7485,Bengaluru,Bank of Baroda
19,"Punjab National Bank ATM, Banashankari, Bengaluru",ATM,12.9251,77.5473,Bengaluru,Punjab National Bank
20,"ICICI Bank ATM, Whitefield, Bengaluru",ATM,12.9699,77.7475,Bengaluru,ICICI Bank
21,"State Bank of India ATM, Whitefield, Bengaluru",ATM,12.9706,77.7518,Bengaluru,State Bank of India
22,"Axis Bank ATM, Electronic City, Bengaluru",ATM,12.8445,77.6632,Bengaluru,Axis Bank
23,"Punjab National Bank ATM, Rajajinagar, Bengaluru",ATM,13.0013,77.5525,Bengaluru,Punjab National Bank
24,"Bank of Baroda ATM, Rajajinagar, Bengaluru",ATM,13.0006,77.557,Bengaluru,Bank of Baroda
25,"ICICI Bank ATM, Malleswaram, Bengaluru",ATM,13.003,77.5706,Bengaluru,ICICI Bank
26,"Bank of Baroda ATM, Rajajinagar, Bengaluru",ATM,13.0007,77.5554,Bengaluru,Bank of Baroda
27,"State Bank of India ATM, Rajajinagar, Bengaluru",ATM,12.9998,77.5533,Bengaluru,State Bank of India
28,"HDFC Bank ATM, Banashankari, Bengaluru",ATM,12.9244,77.5439,Bengaluru,HDFC Bank
29,"ICICI Bank ATM, Jayanagar, Bengaluru",ATM,12.9281,77.5861,Bengaluru,ICICI Bank
30,"State Bank of India ATM, Marathahalli, Bengaluru",ATM,12.9588,77.7003,Bengaluru,State Bank of India
31,"Punjab National Bank ATM, Whitefield, Bengaluru",ATM,12.9708,77.7527,Bengaluru,Punjab National Bank
32,"HDFC Bank ATM, Rajajinagar, Bengaluru",ATM,13.0013,77.5549,Bengaluru,HDFC Bank
33,"HDFC Bank ATM, Malleswaram, Bengaluru",ATM,13.0028,77.5719,Bengaluru,HDFC Bank
34,"ICICI Bank Branch, Rajajinagar, Bengaluru",Branch,12.9988,77.5539,Bengaluru,ICICI Bank
35,"State Bank of India ATM, Koramangala, Bengaluru",ATM,12.9357,77.6229,Bengaluru,State Bank of India
36,"HDFC Bank ATM, Indiranagar, Bengaluru",ATM,12.9731,77.6386,Bengaluru,HDFC Bank
37,"State Bank of India ATM, HSR Layout, Bengaluru",ATM,12.9095,77.643,Bengaluru,State Bank of India
38,"Bank of Baroda Branch, Jayanagar, Bengaluru",Branch,12.931,77.5851,Bengaluru,Bank of Baroda
39,"Punjab National Bank Branch, Jayanagar, Bengaluru",Branch,12.9325,77.5856,Bengaluru,Punjab National Bank
40,"HDFC Bank ATM, Indiranagar, Bengaluru",ATM,12.9729,77.6403,Bengaluru,HDFC Bank
41,"Axis Bank Branch, Andheri, Mumbai",Branch,19.1146,72.8726,Mumbai,Axis Bank
42,"State Bank of India ATM, Malad, Mumbai",ATM,19.1878,72.8511,Mumbai,State Bank of India
43,"State Bank of India ATM, Dadar, Mumbai",ATM,19.0159,72.8475,Mumbai,State Bank of India
44,"Axis Bank ATM, Powai, Mumbai",ATM,19.1174,72.9082,Mumbai,Axis Bank
45,"State Bank of India Branch, Kurla, Mumbai",Branch,19.0704,72.8835,Mumbai,State Bank of India
46,"Punjab National Bank ATM, Bandra, Mumbai",ATM,19.0622,72.8316,Mumbai,Punjab National Bank
47,"HDFC Bank Branch, Ghatkopar, Mumbai",Branch,19.0863,72.9103,Mumbai,HDFC Bank
48,"State Bank of India ATM, Malad, Mumbai",ATM,19.1834,72.8486,Mumbai,State Bank of India
49,"Axis Bank ATM, Malad, Mumbai",ATM,19.1876,72.8507,Mumbai,Axis Bank
50,"Punjab National Bank Branch, Borivali, Mumbai",Branch,19.2288,72.855,Mumbai,Punjab National Bank
51,"State Bank of India ATM, Thane, Mumbai",ATM,19.2156,72.9786,Mumbai,State Bank of India
52,"Punjab National Bank ATM, Andheri, Mumbai",ATM,19.1164,72.8672,Mumbai,Punjab National Bank
53,"HDFC Bank ATM, Vikhroli, Mumbai",ATM,19.1053,72.9272,Mumbai,HDFC Bank
54,"Axis Bank ATM, Vikhroli, Mumbai",ATM,19.1064,72.9256,Mumbai,Axis Bank
55,"Punjab National Bank ATM, Malad, Mumbai",ATM,19.1873,72.8497,Mumbai,Punjab National Bank
